k,norm,train loss,test loss
5,min_max,8,3
4,min_max,8,4
3,min_max,9,3
7,min_max,9,3
11,min_max,9,3
6,min_max,10,3
10,min_max,10,3
12,min_max,10,3
13,min_max,10,3
5,z_score,10,3
3,z_score,10,4
3,none,10,5
14,min_max,12,3
4,z_score,12,3
6,z_score,12,3
2,min_max,12,4
7,z_score,12,4
8,z_score,13,4
10,z_score,13,4
9,z_score,13,5
2,none,13,10
8,min_max,14,3
9,min_max,14,3
15,min_max,14,4
11,z_score,14,5
2,z_score,14,6
5,none,15,2
16,min_max,15,3
17,min_max,15,3
18,min_max,15,3
20,min_max,15,3
21,z_score,15,3
13,z_score,15,5
7,none,16,2
19,min_max,16,3
21,min_max,16,3
22,z_score,16,4
14,z_score,16,6
23,z_score,17,3
22,min_max,17,4
23,min_max,17,4
17,z_score,17,4
18,z_score,17,4
19,z_score,17,4
12,z_score,17,5
15,z_score,17,5
20,z_score,18,3
16,z_score,18,4
9,none,19,2
25,min_max,19,5
4,none,19,8
24,z_score,20,4
29,z_score,20,4
41,min_max,20,5
45,min_max,20,5
47,min_max,20,5
24,min_max,21,4
27,min_max,21,4
43,min_max,21,5
46,min_max,21,5
8,none,21,5
34,min_max,21,6
37,min_max,21,6
57,min_max,21,6
44,z_score,22,3
27,z_score,22,4
42,z_score,22,4
40,min_max,22,5
44,min_max,22,5
26,z_score,22,5
41,z_score,22,5
43,z_score,22,5
45,z_score,22,5
6,none,22,5
35,min_max,22,6
36,min_max,22,6
39,min_max,22,6
49,min_max,22,6
64,min_max,22,6
33,min_max,22,7
26,min_max,23,4
29,min_max,23,4
31,z_score,23,4
42,min_max,23,5
25,z_score,23,5
28,z_score,23,5
40,z_score,23,5
32,min_max,23,6
55,min_max,23,6
56,min_max,23,6
59,min_max,23,6
67,min_max,23,7
70,min_max,23,7
38,min_max,23,8
13,none,24,2
10,none,24,3
33,z_score,24,4
46,z_score,24,4
31,min_max,24,5
30,min_max,24,6
58,min_max,24,6
65,min_max,24,6
37,z_score,24,6
66,min_max,24,7
11,none,25,3
28,min_max,25,5
30,z_score,25,5
50,min_max,25,6
51,min_max,25,6
52,min_max,25,6
60,min_max,25,6
61,min_max,25,6
62,min_max,25,6
63,min_max,25,6
47,z_score,25,6
68,min_max,25,7
71,min_max,25,7
96,min_max,25,10
32,z_score,26,4
48,min_max,26,5
39,z_score,26,5
53,min_max,26,6
54,min_max,26,6
38,z_score,26,6
69,min_max,26,7
72,min_max,26,8
92,min_max,26,8
95,min_max,26,8
98,min_max,26,9
48,z_score,27,4
36,z_score,27,5
49,z_score,27,5
51,z_score,27,5
73,min_max,27,7
93,min_max,27,8
97,min_max,27,9
99,min_max,27,9
12,none,28,3
15,none,28,3
34,z_score,28,5
35,z_score,28,5
50,z_score,28,5
16,none,28,5
52,z_score,28,6
56,z_score,28,6
90,min_max,28,7
91,min_max,28,7
94,min_max,28,7
77,min_max,28,8
60,z_score,28,9
63,z_score,28,9
64,z_score,28,9
17,none,29,4
54,z_score,29,5
53,z_score,29,6
55,z_score,29,6
82,min_max,29,7
83,min_max,29,7
57,z_score,29,7
59,z_score,29,7
74,min_max,29,8
75,min_max,29,8
76,min_max,29,8
61,z_score,29,9
62,z_score,29,9
65,z_score,29,10
89,z_score,29,10
91,z_score,29,10
93,z_score,29,10
97,z_score,29,10
68,z_score,29,11
81,min_max,30,7
84,min_max,30,7
85,min_max,30,7
86,min_max,30,7
87,min_max,30,7
88,min_max,30,7
89,min_max,30,7
78,min_max,30,8
80,min_max,30,8
88,z_score,30,10
90,z_score,30,10
92,z_score,30,10
95,z_score,30,10
99,z_score,30,10
14,none,31,4
58,z_score,31,7
79,min_max,31,8
67,z_score,31,8
72,z_score,31,9
94,z_score,31,9
98,z_score,31,9
84,z_score,31,10
85,z_score,31,10
96,z_score,31,10
66,z_score,31,11
69,z_score,31,11
70,z_score,31,11
19,none,32,5
21,none,32,5
82,z_score,32,10
83,z_score,32,10
73,z_score,32,11
78,z_score,32,11
81,z_score,32,11
18,none,33,6
20,none,33,7
25,none,33,9
86,z_score,33,10
87,z_score,33,10
71,z_score,33,11
75,z_score,33,11
76,z_score,33,11
80,z_score,33,11
23,none,34,7
74,z_score,34,11
77,z_score,34,11
79,z_score,34,11
26,none,35,8
22,none,36,6
28,none,36,9
27,none,36,10
24,none,37,7
29,none,37,7
32,none,37,9
30,none,38,9
33,none,38,9
36,none,38,10
44,none,38,15
31,none,39,9
42,none,40,14
43,none,40,14
34,none,41,10
38,none,41,12
46,none,41,15
47,none,41,15
37,none,42,10
35,none,42,11
40,none,42,14
50,none,43,14
45,none,43,15
41,none,44,14
51,none,45,13
49,none,45,14
55,none,45,15
54,none,46,13
48,none,46,14
53,none,46,14
39,none,47,13
57,none,47,15
58,none,47,15
56,none,47,16
52,none,48,14
59,none,49,15
63,none,49,15
66,none,49,17
60,none,50,15
64,none,50,18
62,none,51,15
61,none,51,17
65,none,52,17
67,none,53,16
68,none,53,16
69,none,53,17
70,none,55,18
71,none,55,19
72,none,56,19
85,none,59,20
86,none,59,20
90,none,59,20
73,none,60,18
79,none,60,19
87,none,60,19
78,none,62,19
82,none,62,19
84,none,62,19
88,none,62,19
77,none,63,18
83,none,63,18
80,none,63,20
76,none,64,18
81,none,64,19
74,none,64,20
75,none,65,18
92,none,65,20
91,none,66,19
89,none,66,20
93,none,67,21
94,none,69,21
95,none,71,20
96,none,71,21
97,none,76,21
98,none,79,21
99,none,81,21
