k_folds,norm,train loss,test loss
2,min_max,80,21
2,z_score,70,14
2,none,80,22
3,min_max,74,18
3,z_score,63,14
3,none,105,33
4,min_max,65,14
4,z_score,47,10
4,none,79,22
5,min_max,84,17
5,z_score,75,14
5,none,82,17
6,min_max,64,12
6,z_score,38,10
6,none,61,19
7,min_max,75,19
7,z_score,48,7
7,none,93,30
8,min_max,68,16
8,z_score,56,10
8,none,50,7
9,min_max,74,17
9,z_score,42,11
9,none,54,8
10,min_max,57,12
10,z_score,48,9
10,none,45,17
11,min_max,75,17
11,z_score,43,10
11,none,53,13
12,min_max,79,17
12,z_score,40,10
12,none,46,7
13,min_max,84,17
13,z_score,42,9
13,none,43,9
14,min_max,60,13
14,z_score,44,12
14,none,70,11
15,min_max,72,17
15,z_score,39,10
15,none,72,19
16,min_max,69,17
16,z_score,42,11
16,none,89,24
17,min_max,76,19
17,z_score,42,9
17,none,47,11
18,min_max,72,17
18,z_score,42,9
18,none,69,19
19,min_max,72,15
19,z_score,44,9
19,none,46,11
20,min_max,84,16
20,z_score,40,12
20,none,66,16
