k_folds,norm,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,,,,,,,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
2,min_max,80,21,64,16,69,20,83,19,75,13,80,20,82,17,80,21,82,17,80,21,63,17,52,11,85,18,80,21,64,18,63,14,80,21,83,17,61,10,70,16,83,17
2,z_score,54,14,63,11,87,15,84,15,48,9,71,14,92,19,54,13,42,12,42,10,60,13,46,11,69,19,60,17,44,12,46,11,70,14,55,11,41,10,46,10,57,10
2,none,80,22,120,31,130,32,111,29,85,19,134,32,153,38,155,43,119,31,147,36,154,37,133,39,161,39,120,29,161,39,118,30,80,22,79,22,130,32,54,12,147,38
3,min_max,83,17,55,13,52,10,82,17,63,18,74,20,81,17,59,17,77,18,76,12,79,21,82,16,79,18,68,19,53,10,60,12,74,18,83,17,84,17,69,18,65,15
3,z_score,44,11,41,11,66,14,41,10,58,9,61,9,48,11,55,8,41,10,56,8,43,10,52,10,93,19,89,15,38,11,42,10,63,14,58,16,42,9,106,20,43,11
3,none,148,36,44,8,80,23,94,24,74,21,90,22,139,39,79,23,81,23,112,29,79,22,77,23,45,9,115,30,117,30,152,38,105,33,141,35,105,26,104,29,68,20
4,min_max,68,13,83,18,83,17,60,16,54,14,81,17,59,10,80,19,68,19,62,14,78,17,61,16,78,20,78,20,58,14,75,17,65,14,78,19,61,13,74,17,75,17
4,z_score,73,13,58,11,42,11,46,10,44,11,49,14,54,11,66,11,56,11,47,12,74,15,54,12,66,12,60,18,48,10,45,12,47,10,46,9,45,14,47,10,53,13
4,none,71,13,69,15,80,22,55,15,105,21,41,10,81,22,82,17,56,12,85,23,156,38,101,26,85,23,117,30,86,23,89,18,79,22,38,10,160,39,67,11,79,22
5,min_max,56,14,77,17,83,17,65,18,85,18,66,12,64,16,83,17,66,15,79,19,74,18,63,20,82,17,63,12,61,13,70,20,84,17,66,17,59,17,57,13,79,21
