k_folds,norm,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
2,min_max,83,17,61,10,70,16,83,17
2,z_score,55,11,41,10,46,10,57,10
2,none,79,22,130,32,54,12,147,38
3,min_max,83,17,84,17,69,18,65,15
3,z_score,58,16,42,9,106,20,43,11
3,none,141,35,105,26,104,29,68,20
4,min_max,78,19,61,13,74,17,75,17
4,z_score,46,9,45,14,47,10,53,13
4,none,38,10,160,39,67,11,79,22
5,min_max,66,17,59,17,57,13,79,21
5,z_score,42,9,45,9,52,9,65,12
5,none,50,12,72,15,35,6,65,15
6,min_max,69,17,77,19,83,17,82,17
6,z_score,45,10,42,10,48,7,42,10
6,none,36,8,55,10,88,24,41,12
7,min_max,62,13,57,15,69,15,74,19
7,z_score,45,9,48,14,51,11,41,10
7,none,80,22,81,22,81,22,81,23
8,min_max,78,17,53,12,60,13,53,11
8,z_score,40,12,45,6,41,9,47,11
8,none,75,22,73,15,62,21,39,6
9,min_max,67,14,83,17,62,13,75,18
9,z_score,43,9,48,9,41,10,55,9
9,none,78,22,81,22,85,23,58,12
10,min_max,83,17,85,18,70,16,60,16
10,z_score,50,9,42,12,50,9,52,9
10,none,45,12,72,20,71,15,68,17
11,min_max,60,13,79,17,60,16,84,16
11,z_score,43,9,39,10,39,12,41,9
11,none,74,19,71,15,81,22,46,10
12,min_max,78,20,64,12,73,17,73,16
12,z_score,42,9,40,10,43,11,41,10
12,none,41,10,55,11,72,20,66,21
13,min_max,85,17,64,12,74,17,59,16
13,z_score,41,9,71,13,41,9,52,11
13,none,35,6,85,17,61,18,47,12
14,min_max,82,18,63,13,84,18,70,14
14,z_score,47,7,37,11,44,9,39,10
14,none,55,13,69,21,73,21,81,22
15,min_max,53,12,85,17,84,17,66,14
15,z_score,44,9,48,9,45,11,38,11
15,none,67,18,48,14,67,17,40,11
16,min_max,78,17,59,14,72,17,62,14
16,z_score,42,7,46,12,38,9,41,10
16,none,60,17,43,4,61,15,42,11
17,min_max,60,13,82,18,55,12,67,14
17,z_score,46,10,43,10,39,10,45,9
17,none,81,17,40,10,81,22,76,18
18,min_max,62,14,77,17,67,11,65,14
18,z_score,42,11,42,9,41,12,37,11
18,none,55,13,73,18,45,12,40,4
19,min_max,73,18,74,18,86,17,54,13
19,z_score,45,11,41,9,42,10,40,10
19,none,37,11,54,10,56,9,70,19
20,min_max,83,16,70,16,68,12,59,12
20,z_score,37,11,38,11,41,10,43,12
20,none,72,20,47,11,78,21,40,4
21,min_max,57,14,75,17,84,17,70,15
21,z_score,46,10,41,11,47,10,41,10
21,none,79,23,47,9,79,22,79,22
22,min_max,74,17,62,13,70,15,72,14
22,z_score,40,9,50,10,40,11,43,11
22,none,60,18,68,18,74,15,68,21
23,min_max,57,14,61,14,57,10,68,16
23,z_score,49,10,42,9,44,9,41,9
23,none,60,18,45,11,48,11,37,10
24,min_max,69,16,64,13,73,17,59,11
24,z_score,41,8,45,10,43,9,41,10
24,none,63,16,36,6,49,11,66,19
25,min_max,75,17,65,14,78,17,54,13
25,z_score,39,11,39,10,40,11,37,10
25,none,44,11,51,5,41,5,78,21
26,min_max,67,11,69,14,59,14,67,13
26,z_score,47,9,51,11,38,11,40,9
26,none,64,12,52,7,41,7,63,13
27,min_max,75,17,71,16,55,13,58,13
27,z_score,38,10,49,9,42,10,36,10
27,none,72,15,53,10,62,13,78,22
28,min_max,66,14,72,17,68,14,57,13
28,z_score,39,11,40,9,45,9,42,9
28,none,43,7,53,12,35,6,41,9
29,min_max,71,15,77,17,57,13,73,16
29,z_score,39,11,41,9,38,10,41,11
29,none,40,7,66,14,39,10,77,16
30,min_max,57,13,68,15,81,18,67,13
30,z_score,43,11,46,11,43,10,42,10
30,none,36,6,68,14,37,10,67,15
31,min_max,68,12,70,14,73,17,69,15
31,z_score,43,9,37,11,40,10,40,9
31,none,70,21,49,5,61,16,74,22
32,min_max,51,13,60,13,54,11,76,17
32,z_score,43,7,40,9,39,10,44,9
32,none,43,13,34,8,55,12,70,16
33,min_max,60,14,63,17,82,17,83,18
33,z_score,41,10,43,9,39,11,41,10
33,none,60,14,78,19,72,19,38,4
34,min_max,58,12,60,13,61,13,56,13
34,z_score,39,10,40,11,40,10,42,8
34,none,40,7,40,9,60,17,51,7
35,min_max,84,17,80,17,67,11,68,15
35,z_score,42,11,39,11,43,11,42,12
35,none,45,5,62,14,50,9,45,10
36,min_max,61,14,69,15,75,17,59,13
36,z_score,40,8,39,11,45,11,44,9
36,none,47,11,57,12,47,7,62,7
37,min_max,68,14,84,17,65,12,61,14
37,z_score,46,9,38,10,45,9,38,11
37,none,41,9,46,10,68,16,62,6
38,min_max,83,16,67,13,65,12,57,13
38,z_score,40,11,41,11,41,9,41,9
38,none,60,13,40,7,76,21,46,9
