k_folds,norm,average test loss,average train loss:,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss:
2,min_max,17.38095238,74.23809524,,21,16,20,19,13,20,17,21,17,21,17,11,18,21,18,14,21,17,10,16,17,,17.38095238,,80,64,69,83,75,80,82,80,82,80,63,52,85,80,64,63,80,83,61,70,83,,74.23809524
2,z_score,12.85714286,58.61904762,,14,11,15,15,9,14,19,13,12,10,13,11,19,17,12,11,14,11,10,10,10,,12.85714286,,54,63,87,84,48,71,92,54,42,42,60,46,69,60,44,46,70,55,41,46,57,,58.61904762
2,none,31.04761905,122.4285714,,22,31,32,29,19,32,38,43,31,36,37,39,39,29,39,30,22,22,32,12,38,,31.04761905,,80,120,130,111,85,134,153,155,119,147,154,133,161,120,161,118,80,79,130,54,147,,122.4285714
3,min_max,16.19047619,71.33333333,,17,13,10,17,18,20,17,17,18,12,21,16,18,19,10,12,18,17,17,18,15,,16.19047619,,83,55,52,82,63,74,81,59,77,76,79,82,79,68,53,60,74,83,84,69,65,,71.33333333
3,z_score,11.71428571,56.19047619,,11,11,14,10,9,9,11,8,10,8,10,10,19,15,11,10,14,16,9,20,11,,11.71428571,,44,41,66,41,58,61,48,55,41,56,43,52,93,89,38,42,63,58,42,106,43,,56.19047619
3,none,25.85714286,97.57142857,,36,8,23,24,21,22,39,23,23,29,22,23,9,30,30,38,33,35,26,29,20,,25.85714286,,148,44,80,94,74,90,139,79,81,112,79,77,45,115,117,152,105,141,105,104,68,,97.57142857
4,min_max,16.23809524,70.42857143,,13,18,17,16,14,17,10,19,19,14,17,16,20,20,14,17,14,19,13,17,17,,16.23809524,,68,83,83,60,54,81,59,80,68,62,78,61,78,78,58,75,65,78,61,74,75,,70.42857143
4,z_score,11.9047619,53.33333333,,13,11,11,10,11,14,11,11,11,12,15,12,12,18,10,12,10,9,14,10,13,,11.9047619,,73,58,42,46,44,49,54,66,56,47,74,54,66,60,48,45,47,46,45,47,53,,53.33333333
4,none,20.57142857,84.85714286,,13,15,22,15,21,10,22,17,12,23,38,26,23,30,23,18,22,10,39,11,22,,20.57142857,,71,69,80,55,105,41,81,82,56,85,156,101,85,117,86,89,79,38,160,67,79,,84.85714286
5,min_max,16.57142857,70.57142857,,14,17,17,18,18,12,16,17,15,19,18,20,17,12,13,20,17,17,17,13,21,,16.57142857,,56,77,83,65,85,66,64,83,66,79,74,63,82,63,61,70,84,66,59,57,79,,70.57142857
5,z_score,10.95238095,52.71428571,,10,10,12,9,17,12,7,12,10,15,11,12,10,9,9,12,14,9,9,9,12,,10.95238095,,44,40,60,53,84,48,60,43,43,77,42,42,40,40,56,56,75,42,45,52,65,,52.71428571
