k_folds,norm,eta,train loss,test loss,train loss,test loss,train loss,test loss,train loss,test loss
2,min_max,0.01,20,3,9,4,23,2,21,9
2,min_max,0.02,14,6,14,7,22,9,21,9
2,min_max,0.03,11,5,10,4,19,3,17,2
2,min_max,0.04,9,4,14,7,8,4,15,8
2,min_max,0.05,14,7,17,2,8,4,20,8
2,min_max,0.06,12,4,16,2,10,4,13,6
2,min_max,0.07,10,4,12,5,9,4,14,7
2,min_max,0.08,9,4,12,4,10,4,18,8
2,min_max,0.09,21,3,12,5,10,4,11,2
2,min_max,0.1,11,6,10,4,14,7,9,4
2,min_max,0.11,11,6,13,5,11,3,17,2
2,min_max,0.12,9,4,8,4,12,6,12,5
2,min_max,0.13,11,3,10,4,12,4,9,5
2,min_max,0.14,23,9,12,7,19,2,19,8
2,min_max,0.15,11,4,35,8,19,6,8,4
2,min_max,0.16,11,3,14,3,24,9,15,3
2,min_max,0.17,14,2,17,3,11,5,11,4
2,min_max,0.18,8,4,34,8,17,2,31,6
2,min_max,0.19,17,3,11,5,11,4,11,5
2,min_max,0.2,12,5,11,4,8,4,11,4
2,min_max,0.21,14,3,14,3,12,3,11,5
2,min_max,0.22,10,4,10,4,15,2,15,4
2,min_max,0.23,19,2,10,3,12,2,14,6
2,min_max,0.24,17,2,9,4,9,4,10,4
2,min_max,0.25,12,4,12,3,11,4,21,2
2,min_max,0.26,17,2,10,4,11,4,12,4
2,min_max,0.27,13,6,11,4,18,2,12,5
2,min_max,0.28,12,4,21,8,12,3,10,4
2,min_max,0.29,15,7,11,4,12,3,14,3
2,min_max,0.3,10,3,12,6,16,2,15,2
2,min_max,0.31,13,6,14,3,10,4,11,2
2,min_max,0.32,8,4,8,4,11,4,8,4
2,min_max,0.33,25,4,9,4,12,3,11,5
2,min_max,0.34,12,4,17,10,17,9,13,5
2,min_max,0.35,23,4,11,4,18,2,10,4
2,min_max,0.36,10,4,12,5,9,4,10,4
2,min_max,0.37,11,3,14,5,25,9,16,7
2,min_max,0.38,40,7,13,5,17,8,9,4
2,min_max,0.39,9,4,11,4,11,4,12,6
2,min_max,0.4,18,2,22,8,13,2,12,2
2,min_max,0.41,13,3,14,7,10,5,14,2
2,min_max,0.42,20,8,12,3,12,5,13,5
2,min_max,0.43,18,2,9,4,15,7,19,2
2,min_max,0.44,10,3,13,6,14,3,17,2
2,min_max,0.45,18,2,16,2,9,4,10,4
2,min_max,0.46,10,4,15,2,9,4,20,9
2,min_max,0.47,19,2,10,4,11,4,21,3
2,min_max,0.48,31,7,12,3,9,4,19,2
2,min_max,0.49,8,4,22,3,13,6,10,4
2,min_max,0.5,15,7,12,4,11,3,10,2
2,min_max,0.51,18,2,14,2,9,4,12,5
2,min_max,0.52,10,4,14,7,11,4,10,4
2,min_max,0.53,12,5,11,2,16,7,20,8
2,min_max,0.54,9,4,10,4,21,3,8,4
2,min_max,0.55,14,3,20,9,16,3,12,5
2,min_max,0.56,13,2,10,3,22,2,15,3
2,min_max,0.57,13,6,11,3,10,6,13,2
2,min_max,0.58,10,4,20,8,12,5,12,4
2,min_max,0.59,13,2,12,3,21,10,19,8
2,min_max,0.6,12,5,10,4,11,4,9,4
2,min_max,0.61,12,5,14,4,11,5,11,2
2,min_max,0.62,18,2,13,2,12,2,17,7
2,min_max,0.63,15,7,7,4,8,5,22,3
2,min_max,0.64,11,2,11,4,11,5,15,2
2,min_max,0.65,12,5,17,2,12,5,11,4
2,min_max,0.66,12,3,14,2,8,4,18,2
2,min_max,0.67,11,4,10,5,8,4,12,3
2,min_max,0.68,14,7,9,4,22,4,17,2
2,min_max,0.69,8,4,32,8,10,3,23,9
2,min_max,0.7,12,5,10,4,20,10,13,2
2,min_max,0.71,9,4,11,5,24,9,11,5
2,min_max,0.72,10,4,13,3,33,7,21,2
2,min_max,0.73,14,6,10,4,20,2,12,4
2,min_max,0.74,17,2,19,2,10,3,10,4
2,min_max,0.75,16,2,17,8,13,6,13,3
2,min_max,0.76,10,4,9,4,23,3,13,3
2,min_max,0.77,10,4,22,4,14,3,15,7
2,min_max,0.78,13,5,10,4,16,5,9,4
2,min_max,0.79,12,3,12,3,12,4,20,2
2,min_max,0.8,12,2,11,4,19,2,10,4
2,min_max,0.81,15,3,12,2,14,2,9,4
2,min_max,0.82,16,4,22,3,20,8,24,4
2,min_max,0.83,10,4,12,5,16,2,11,4
2,min_max,0.84,16,2,11,4,17,2,10,4
2,min_max,0.85,12,5,10,2,11,3,23,4
2,min_max,0.86,17,7,12,6,10,5,12,4
2,min_max,0.87,10,4,12,5,22,4,16,2
2,min_max,0.88,13,5,9,4,14,2,10,6
2,min_max,0.89,10,5,18,2,10,5,12,3
2,min_max,0.9,18,2,19,2,21,8,12,5
2,min_max,0.91,10,4,14,3,24,5,10,5
2,min_max,0.92,9,4,14,2,10,4,10,4
