k_folds,norm,eta,average train loss,average test loss,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,average test loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,average train loss
2,min_max,0.01,15.2,4,,5,2,2,4,3,4,2,9,2,8,4,4,2,3,3,3,7,3,5,5,,4,,12,19,17,10,20,9,23,21,14,16,10,8,11,24,15,21,18,12,12,12,,15.2
2,min_max,0.02,15.05,5,,2,4,4,2,6,7,9,9,3,4,3,3,4,4,7,6,4,3,9,7,,5,,16,10,9,13,14,14,22,21,16,9,12,22,10,22,14,12,10,20,22,13,,15.05
2,min_max,0.03,14.55,3.25,,3,2,3,3,5,4,3,2,3,3,2,8,2,4,3,2,4,4,2,3,,3.25,,14,16,16,17,11,10,19,17,9,22,18,18,15,9,13,16,11,12,17,11,,14.55
2,min_max,0.04,14.45,4.75,,6,4,3,3,4,7,4,8,2,3,2,7,5,5,9,6,2,7,4,4,,4.75,,14,7,12,11,9,14,8,15,20,11,18,16,12,12,25,29,20,15,10,11,,14.45
2,min_max,0.05,14.6,4,,3,4,3,2,7,2,4,8,2,2,2,2,4,4,8,5,2,3,4,9,,4,,10,12,13,17,14,17,8,20,19,20,19,16,10,10,18,11,18,11,8,21,,14.6
2,min_max,0.06,16.3,5.05,,9,4,3,2,4,2,4,6,6,2,8,11,9,3,2,3,9,4,7,3,,5.05,,26,8,11,15,12,16,10,13,20,18,20,28,22,19,15,13,24,11,14,11,,16.3
2,min_max,0.07,15.95,4.95,,4,3,9,8,4,5,4,7,4,3,4,4,2,2,9,8,4,4,4,7,,4.95,,11,16,24,36,10,12,9,14,9,20,10,11,18,21,21,18,22,9,9,19,,15.95
2,min_max,0.08,14.2,4.6,,6,4,4,4,4,4,4,8,2,4,2,4,6,2,5,7,7,4,7,4,,4.6,,13,11,15,10,9,12,10,18,19,10,16,10,29,19,16,21,14,8,16,8,,14.2
2,min_max,0.09,15.3,3.7,,2,3,6,5,3,5,4,2,7,2,4,2,3,3,2,2,4,3,10,2,,3.7,,21,22,9,26,21,12,10,11,17,18,7,12,11,11,16,20,9,10,23,20,,15.3
2,min_max,0.1,13.1,3.9,,2,2,4,5,6,4,7,4,2,3,4,3,3,2,10,2,4,4,5,2,,3.9,,10,22,9,13,11,10,14,9,16,11,8,16,10,19,16,21,9,8,12,18,,13.1
2,min_max,0.11,12.65,4.3,,4,4,12,4,6,5,3,2,4,5,4,2,5,4,5,2,4,5,2,4,,4.3,,10,10,30,10,11,13,11,17,9,12,10,13,12,9,10,12,12,12,19,11,,12.65
2,min_max,0.12,13.05,4.45,,3,2,3,4,4,4,6,5,2,8,2,4,8,4,4,6,4,4,7,5,,4.45,,11,18,11,10,9,8,12,12,14,18,12,11,21,12,11,13,10,9,15,24,,13.05
2,min_max,0.13,13.45,4.45,,4,4,7,4,3,4,4,5,4,3,5,2,4,2,5,3,6,9,7,4,,4.45,,12,12,16,11,11,10,12,9,9,12,13,13,11,18,10,19,30,19,14,8,,13.45
2,min_max,0.14,14.6,4.6,,4,3,5,3,9,7,2,8,4,4,5,2,4,3,2,4,4,4,8,7,,4.6,,11,26,12,12,23,12,19,19,12,10,12,15,9,10,18,9,13,8,28,14,,14.6
2,min_max,0.15,14.9,4.3,,4,4,2,4,4,8,6,4,7,3,4,2,3,4,6,2,8,4,3,4,,4.3,,9,9,14,10,11,35,19,8,17,13,10,15,13,12,26,14,20,11,21,11,,14.9
2,min_max,0.16,14.05,4,,2,5,5,4,3,3,9,3,2,4,2,8,7,3,3,4,2,2,5,4,,4,,17,20,12,10,11,14,24,15,16,8,14,17,16,11,16,11,18,11,12,8,,14.05
