k_folds,norm,eta,lambda,train loss,test loss
2,min_max,0.1,0.1,49,13
2,min_max,0.1,0.2,91,24
2,min_max,0.1,0.3,79,21
2,min_max,0.1,0.4,106,26
2,min_max,0.1,0.5,79,21
2,min_max,0.1,0.6,155,37
2,min_max,0.1,0.7,96,30
2,min_max,0.1,0.8,160,38
2,min_max,0.1,0.9,161,38
2,min_max,0.1,1.0,83,17
2,min_max,0.2,0.1,80,17
2,min_max,0.2,0.2,80,22
2,min_max,0.2,0.3,161,39
2,min_max,0.2,0.4,146,41
2,min_max,0.2,0.5,162,38
2,min_max,0.2,0.6,157,43
2,min_max,0.2,0.7,162,38
2,min_max,0.2,0.8,157,43
2,min_max,0.2,0.9,129,31
2,min_max,0.2,1.0,106,29
2,min_max,0.3,0.1,40,10
2,min_max,0.3,0.2,86,19
2,min_max,0.3,0.3,158,38
2,min_max,0.3,0.4,100,21
2,min_max,0.3,0.5,162,38
2,min_max,0.3,0.6,84,24
2,min_max,0.3,0.7,84,17
2,min_max,0.3,0.8,157,43
2,min_max,0.3,0.9,157,43
2,min_max,0.3,1.0,157,43
2,min_max,0.4,0.1,138,35
2,min_max,0.4,0.2,161,39
2,min_max,0.4,0.3,162,38
2,min_max,0.4,0.4,161,39
2,min_max,0.4,0.5,157,43
2,min_max,0.4,0.6,152,43
2,min_max,0.4,0.7,161,39
2,min_max,0.4,0.8,157,43
2,min_max,0.4,0.9,161,39
2,min_max,0.4,1.0,162,38
2,min_max,0.5,0.1,93,20
2,min_max,0.5,0.2,144,34
2,min_max,0.5,0.3,124,27
2,min_max,0.5,0.4,160,39
2,min_max,0.5,0.5,157,43
2,min_max,0.5,0.6,162,38
2,min_max,0.5,0.7,133,30
2,min_max,0.5,0.8,102,20
2,min_max,0.5,0.9,157,43
2,min_max,0.5,1.0,162,38
2,min_max,0.6,0.1,153,43
2,min_max,0.6,0.2,157,43
2,min_max,0.6,0.3,83,22
2,min_max,0.6,0.4,79,21
2,min_max,0.6,0.5,157,43
2,min_max,0.6,0.6,161,39
2,min_max,0.6,0.7,80,22
2,min_max,0.6,0.8,162,38
2,min_max,0.6,0.9,110,24
2,min_max,0.6,1.0,161,39
2,min_max,0.7,0.1,87,19
2,min_max,0.7,0.2,157,43
2,min_max,0.7,0.3,157,43
2,min_max,0.7,0.4,162,38
2,min_max,0.7,0.5,157,43
2,min_max,0.7,0.6,157,43
2,min_max,0.7,0.7,143,40
2,min_max,0.7,0.8,161,39
2,min_max,0.7,0.9,161,39
2,min_max,0.7,1.0,97,22
2,min_max,0.8,0.1,162,38
2,min_max,0.8,0.2,161,39
2,min_max,0.8,0.3,80,22
2,min_max,0.8,0.4,162,38
2,min_max,0.8,0.5,157,43
2,min_max,0.8,0.6,161,39
2,min_max,0.8,0.7,161,39
2,min_max,0.8,0.8,157,43
2,min_max,0.8,0.9,161,39
2,min_max,0.8,1.0,157,43
2,min_max,0.9,0.1,161,39
2,min_max,0.9,0.2,162,38
2,min_max,0.9,0.3,162,38
2,min_max,0.9,0.4,153,43
2,min_max,0.9,0.5,135,30
2,min_max,0.9,0.6,161,39
2,min_max,0.9,0.7,157,43
2,min_max,0.9,0.8,162,38
2,min_max,0.9,0.9,162,38
2,min_max,0.9,1.0,157,43
2,min_max,1.0,0.1,72,20
2,min_max,1.0,0.2,157,43
2,min_max,1.0,0.3,161,39
2,min_max,1.0,0.4,157,43
2,min_max,1.0,0.5,161,39
2,min_max,1.0,0.6,157,43
2,min_max,1.0,0.7,161,39
2,min_max,1.0,0.8,157,43
2,min_max,1.0,0.9,161,39
2,min_max,1.0,1.0,161,39
2,z_score,0.1,0.1,38,7
2,z_score,0.1,0.2,42,12
2,z_score,0.1,0.3,49,11
2,z_score,0.1,0.4,52,14
2,z_score,0.1,0.5,40,8
2,z_score,0.1,0.6,53,13
2,z_score,0.1,0.7,51,12
2,z_score,0.1,0.8,58,15
2,z_score,0.1,0.9,47,14
2,z_score,0.1,1.0,60,12
2,z_score,0.2,0.1,59,15
2,z_score,0.2,0.2,49,14
2,z_score,0.2,0.3,50,12
2,z_score,0.2,0.4,46,10
2,z_score,0.2,0.5,49,13
2,z_score,0.2,0.6,48,12
2,z_score,0.2,0.7,77,14
2,z_score,0.2,0.8,60,8
2,z_score,0.2,0.9,46,9
2,z_score,0.2,1.0,48,15
2,z_score,0.3,0.1,51,10
2,z_score,0.3,0.2,54,14
2,z_score,0.3,0.3,134,37
2,z_score,0.3,0.4,58,16
2,z_score,0.3,0.5,90,18
2,z_score,0.3,0.6,65,18
2,z_score,0.3,0.7,64,12
2,z_score,0.3,0.8,58,8
2,z_score,0.3,0.9,64,18
2,z_score,0.3,1.0,87,23
2,z_score,0.4,0.1,48,11
2,z_score,0.4,0.2,61,16
2,z_score,0.4,0.3,79,22
2,z_score,0.4,0.4,77,21
2,z_score,0.4,0.5,66,13
2,z_score,0.4,0.6,48,13
2,z_score,0.4,0.7,64,17
2,z_score,0.4,0.8,129,28
2,z_score,0.4,0.9,117,25
2,z_score,0.4,1.0,113,33
2,z_score,0.5,0.1,57,14
2,z_score,0.5,0.2,65,19
2,z_score,0.5,0.3,46,14
2,z_score,0.5,0.4,143,41
2,z_score,0.5,0.5,87,20
2,z_score,0.5,0.6,74,13
2,z_score,0.5,0.7,87,18
2,z_score,0.5,0.8,89,20
2,z_score,0.5,0.9,78,21
2,z_score,0.5,1.0,98,27
2,z_score,0.6,0.1,53,10
2,z_score,0.6,0.2,51,7
2,z_score,0.6,0.3,86,21
2,z_score,0.6,0.4,87,19
2,z_score,0.6,0.5,53,21
2,z_score,0.6,0.6,118,26
2,z_score,0.6,0.7,73,17
2,z_score,0.6,0.8,126,29
2,z_score,0.6,0.9,100,20
2,z_score,0.6,1.0,63,18
2,z_score,0.7,0.1,54,10
2,z_score,0.7,0.2,66,19
2,z_score,0.7,0.3,75,19
2,z_score,0.7,0.4,80,22
2,z_score,0.7,0.5,88,18
2,z_score,0.7,0.6,58,13
2,z_score,0.7,0.7,104,30
2,z_score,0.7,0.8,153,43
2,z_score,0.7,0.9,117,27
2,z_score,0.7,1.0,103,22
2,z_score,0.8,0.1,53,10
2,z_score,0.8,0.2,55,15
2,z_score,0.8,0.3,89,22
2,z_score,0.8,0.4,91,26
2,z_score,0.8,0.5,78,22
2,z_score,0.8,0.6,83,22
2,z_score,0.8,0.7,109,25
2,z_score,0.8,0.8,131,31
2,z_score,0.8,0.9,107,31
2,z_score,0.8,1.0,42,14
2,z_score,0.9,0.1,90,20
2,z_score,0.9,0.2,115,27
2,z_score,0.9,0.3,52,11
2,z_score,0.9,0.4,90,22
2,z_score,0.9,0.5,68,19
2,z_score,0.9,0.6,83,24
2,z_score,0.9,0.7,103,23
2,z_score,0.9,0.8,59,12
2,z_score,0.9,0.9,130,31
2,z_score,0.9,1.0,96,19
2,z_score,1.0,0.1,88,20
2,z_score,1.0,0.2,43,15
2,z_score,1.0,0.3,128,32
2,z_score,1.0,0.4,65,20
2,z_score,1.0,0.5,79,21
2,z_score,1.0,0.6,88,28
2,z_score,1.0,0.7,69,17
2,z_score,1.0,0.8,103,22
2,z_score,1.0,0.9,86,24
2,z_score,1.0,1.0,141,34
2,none,0.1,0.1,161,39
2,none,0.1,0.2,162,38
2,none,0.1,0.3,150,37
2,none,0.1,0.4,161,39
2,none,0.1,0.5,161,39
2,none,0.1,0.6,157,43
2,none,0.1,0.7,161,39
2,none,0.1,0.8,162,38
2,none,0.1,0.9,161,39
2,none,0.1,1.0,161,39
2,none,0.2,0.1,157,43
2,none,0.2,0.2,157,43
2,none,0.2,0.3,162,38
2,none,0.2,0.4,162,38
2,none,0.2,0.5,162,38
2,none,0.2,0.6,161,39
2,none,0.2,0.7,157,43
2,none,0.2,0.8,161,39
2,none,0.2,0.9,162,38
2,none,0.2,1.0,157,43
2,none,0.3,0.1,157,43
2,none,0.3,0.2,157,43
2,none,0.3,0.3,161,39
2,none,0.3,0.4,161,39
2,none,0.3,0.5,162,38
2,none,0.3,0.6,162,38
2,none,0.3,0.7,157,43
2,none,0.3,0.8,162,38
2,none,0.3,0.9,162,38
2,none,0.3,1.0,157,43
2,none,0.4,0.1,157,43
2,none,0.4,0.2,161,39
2,none,0.4,0.3,157,43
2,none,0.4,0.4,161,39
2,none,0.4,0.5,157,43
2,none,0.4,0.6,161,39
2,none,0.4,0.7,161,39
2,none,0.4,0.8,162,38
