k_folds,norm,eta,lambda,train average loss,test average loss,,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,test loss,,test average loss,,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,train loss,,train average loss
2,min_max,0.1,0.1,69.0952381,17.95238095,,17,4,14,21,13,21,21,21,5,21,21,14,21,16,21,21,21,21,21,21,21,,17.95238095,,83,22,53,78,49,79,79,78,23,78,79,48,79,70,79,79,79,79,79,79,79,,69.0952381
2,min_max,0.1,0.2,74.42857143,19.76190476,,21,21,21,22,24,21,21,22,22,21,21,21,8,19,21,21,20,21,8,21,18,,19.76190476,,79,79,79,79,91,79,79,81,81,79,79,79,32,86,79,79,75,79,31,79,59,,74.42857143
2,min_max,0.1,0.3,86,22.23809524,,23,21,21,39,21,21,21,32,15,6,21,21,26,21,23,21,23,16,33,21,21,,22.23809524,,83,79,79,158,79,79,79,128,47,39,79,79,98,79,80,79,89,77,138,79,79,,86
2,min_max,0.1,0.4,97.9047619,25.0952381,,43,38,8,25,26,24,32,32,34,13,16,21,36,13,21,13,22,21,38,21,30,,25.0952381,,157,158,27,96,106,90,128,113,152,50,76,79,119,61,79,58,80,79,158,79,111,,97.9047619
2,min_max,0.1,0.5,91.19047619,24,,21,23,21,21,21,24,43,21,19,25,21,18,24,41,21,27,17,21,18,38,19,,24,,79,80,79,79,79,83,157,79,88,98,79,86,86,137,79,100,84,79,66,132,86,,91.19047619
2,min_max,0.1,0.6,121,30.61904762,,21,21,38,43,37,27,17,38,43,21,39,26,37,28,43,20,21,38,21,21,43,,30.61904762,,79,77,162,157,155,122,83,162,157,79,161,114,157,100,157,73,79,159,79,79,150,,121
2,min_max,0.1,0.7,108.6666667,27.76190476,,43,43,17,19,30,14,26,24,21,21,17,38,17,21,21,35,39,43,38,35,21,,27.76190476,,157,157,87,85,96,65,110,85,79,79,83,158,83,79,75,125,161,157,160,122,79,,108.6666667
2,min_max,0.1,0.8,119.9047619,31.52380952,,18,39,21,21,38,43,39,22,26,36,39,43,21,21,25,35,43,21,43,43,25,,31.52380952,,84,161,79,79,160,157,161,79,88,128,161,151,79,80,85,122,157,79,157,157,114,,119.9047619
2,min_max,0.1,0.9,127.1428571,32.61904762,,39,38,21,40,38,24,43,33,36,38,39,16,23,43,43,20,38,41,21,35,16,,32.61904762,,161,162,79,139,161,82,157,119,140,162,161,62,84,156,155,89,162,145,91,118,85,,127.1428571
2,min_max,0.1,1,112.9047619,28.76190476,,21,43,43,29,17,21,24,23,38,23,27,23,21,28,17,21,43,43,22,39,38,,28.76190476,,79,157,157,118,83,79,111,85,158,82,92,101,79,114,85,79,157,153,79,161,162,,112.9047619
2,min_max,0.2,0.1,72.33333333,18.52380952,,10,21,17,22,17,21,10,21,21,15,39,10,21,17,21,21,21,15,22,21,6,,18.52380952,,32,79,84,79,80,79,47,79,79,51,161,43,79,84,79,79,75,46,77,79,28,,72.33333333
2,min_max,0.2,0.2,85.76190476,22.04761905,,28,15,21,21,22,21,34,38,17,11,22,21,12,33,10,22,30,22,21,21,21,,22.04761905,,104,68,79,79,80,79,146,159,87,38,82,79,45,134,39,85,99,82,79,79,79,,85.76190476
2,min_max,0.2,0.3,106.4285714,26.71428571,,23,21,20,22,39,39,38,39,10,24,17,38,25,39,24,21,23,21,36,21,21,,26.71428571,,81,79,103,80,161,161,127,145,41,87,83,158,112,161,117,79,84,79,139,79,79,,106.4285714
2,min_max,0.2,0.4,128.7142857,33.0952381,,43,43,24,21,41,31,43,39,20,18,21,38,21,43,38,43,21,38,42,25,42,,33.0952381,,153,157,91,100,146,129,157,161,97,62,79,159,79,157,162,157,79,160,146,120,152,,128.7142857
2,min_max,0.2,0.5,128.2380952,32.66666667,,43,21,38,21,38,43,23,31,35,43,39,36,38,43,21,39,22,15,38,28,31,,32.66666667,,157,103,162,104,162,156,79,131,144,157,161,124,160,157,79,161,80,68,158,85,105,,128.2380952
2,min_max,0.2,0.6,125.0952381,32.42857143,,29,23,23,21,43,25,43,39,39,32,34,41,38,43,23,26,38,38,22,22,39,,32.42857143,,113,82,81,79,157,85,157,161,160,111,146,152,162,157,81,124,153,160,79,81,146,,125.0952381
2,min_max,0.2,0.7,141.6666667,35.38095238,,35,39,43,38,38,39,38,39,39,43,21,35,39,39,23,38,23,39,21,38,36,,35.38095238,,154,161,157,162,162,161,162,160,161,157,79,122,161,159,80,162,82,138,79,162,154,,141.6666667
2,min_max,0.2,0.8,136.8571429,34.71428571,,43,39,39,18,43,43,26,27,37,14,21,39,38,39,39,43,38,39,22,43,39,,34.71428571,,153,160,161,84,157,157,94,123,147,40,79,161,159,161,161,157,162,161,79,157,161,,136.8571429
2,min_max,0.2,0.9,144.3809524,37.04761905,,43,21,39,29,31,17,39,43,39,43,39,43,43,39,43,43,21,38,39,43,43,,37.04761905,,157,79,161,97,129,84,161,153,161,157,161,157,157,161,157,157,106,162,161,157,157,,144.3809524
2,min_max,0.2,1,131.6666667,33.66666667,,17,38,36,38,29,39,22,27,43,21,29,43,38,43,43,37,25,39,36,21,43,,33.66666667,,85,162,147,162,106,161,80,124,157,79,129,157,162,157,157,128,95,161,121,79,156,,131.6666667
2,min_max,0.3,0.1,80.85714286,20.42857143,,21,21,21,35,10,21,39,21,21,21,21,20,21,17,21,6,21,21,12,17,21,,20.42857143,,77,79,79,153,40,79,158,79,79,79,79,92,79,83,79,18,79,79,41,88,79,,80.85714286
2,min_max,0.3,0.2,104.3809524,26.28571429,,21,26,43,31,19,38,21,22,17,36,21,21,30,19,18,43,34,21,18,36,17,,26.28571429,,79,102,156,108,86,128,79,80,84,127,79,79,114,90,85,155,152,79,85,159,86,,104.3809524
2,min_max,0.3,0.3,122.952381,30.61904762,,38,39,17,39,38,21,41,39,39,29,25,38,21,21,22,39,38,17,24,38,20,,30.61904762,,162,161,83,161,158,79,147,161,131,107,83,162,80,79,82,161,162,83,80,162,98,,122.952381
2,min_max,0.3,0.4,127.3333333,33.33333333,,22,43,22,38,21,42,43,36,43,40,37,21,37,21,25,20,39,37,37,33,43,,33.33333333,,82,157,79,162,100,149,157,128,157,136,145,79,159,79,102,87,161,122,134,142,157,,127.3333333
2,min_max,0.3,0.5,132.8571429,33.76190476,,43,21,18,39,38,27,35,29,39,43,35,39,43,19,21,28,39,29,43,38,43,,33.76190476,,157,80,85,161,162,122,123,107,155,157,118,161,157,92,100,117,161,99,157,162,157,,132.8571429
2,min_max,0.3,0.6,140.047619,35.95238095,,32,43,38,43,24,31,43,28,38,38,38,39,43,21,43,21,32,43,39,39,39,,35.95238095,,135,157,160,157,84,109,157,127,162,162,162,161,156,79,157,79,97,157,161,161,161,,140.047619
2,min_max,0.3,0.7,145.7142857,37.04761905,,39,39,38,22,17,39,39,43,38,38,43,39,43,39,38,43,43,43,43,31,21,,37.04761905,,161,161,162,79,84,161,161,157,162,162,157,161,156,161,161,157,157,157,157,107,79,,145.7142857
2,min_max,0.3,0.8,152.6190476,40.14285714,,43,39,43,43,43,38,43,43,43,38,38,41,43,43,39,38,43,39,22,38,43,,40.14285714,,157,161,157,157,157,162,157,157,157,158,162,138,157,157,161,162,157,161,79,134,157,,152.6190476
2,min_max,0.3,0.9,149.6190476,37.61904762,,39,21,34,43,43,43,34,39,38,43,19,37,38,39,38,43,39,39,39,43,39,,37.61904762,,158,79,143,150,157,155,148,161,162,149,86,152,162,161,162,157,160,161,161,157,161,,149.6190476
2,min_max,0.3,1,147,36.14285714,,38,38,39,24,43,39,39,18,39,38,43,43,39,39,21,39,21,39,39,38,43,,36.14285714,,162,162,161,115,157,161,161,88,161,162,157,157,161,161,79,161,80,161,161,162,157,,147
2,min_max,0.4,0.1,100.8095238,25,,32,17,14,21,35,33,22,23,14,21,23,17,43,18,20,21,39,18,38,22,34,,25,,117,80,67,79,138,119,79,95,59,79,79,83,156,90,74,79,161,92,159,79,153,,100.8095238
2,min_max,0.4,0.2,131.7142857,33.57142857,,33,25,37,43,39,19,38,43,39,34,23,43,38,22,41,39,38,21,14,38,38,,33.57142857,,109,87,152,156,161,84,162,157,161,143,85,157,162,79,136,161,161,79,54,162,158,,131.7142857
2,min_max,0.4,0.3,135.952381,35.23809524,,43,42,19,43,38,39,25,43,43,43,43,29,35,39,43,19,21,22,43,43,25,,35.23809524,,149,147,87,157,162,161,106,157,157,156,157,114,144,161,157,93,79,79,157,157,118,,135.952381
2,min_max,0.4,0.4,137.1904762,35.80952381,,43,28,43,35,39,43,43,43,24,25,39,39,43,43,21,39,43,43,38,18,20,,35.80952381,,157,120,157,117,161,156,157,157,89,97,161,161,157,157,79,161,157,157,145,85,93,,137.1904762
2,min_max,0.4,0.5,146.3809524,36.71428571,,38,43,39,22,43,38,39,38,36,34,43,39,39,43,24,43,43,39,17,43,28,,36.71428571,,148,157,161,80,157,162,161,159,150,152,157,161,161,157,111,157,157,161,84,157,124,,146.3809524
2,min_max,0.4,0.6,148.047619,37,,43,39,43,39,43,39,21,39,39,24,39,26,43,39,43,39,38,31,38,39,33,,37,,157,161,157,161,152,161,79,161,161,116,161,102,157,161,157,161,162,128,160,161,133,,148.047619
2,min_max,0.4,0.7,156,38.19047619,,37,38,38,39,39,38,39,25,43,39,25,38,43,43,38,43,39,38,38,39,43,,38.19047619,,160,162,162,161,161,162,161,118,157,161,114,162,157,157,162,157,161,161,162,161,157,,156
2,min_max,0.4,0.8,144.2380952,37.19047619,,43,43,43,17,43,39,39,43,43,43,21,38,22,39,38,39,38,43,25,43,39,,37.19047619,,157,157,157,84,157,161,161,157,157,157,79,162,84,160,162,161,157,157,84,157,161,,144.2380952
2,min_max,0.4,0.9,154.4761905,38.76190476,,39,43,38,39,39,38,43,39,43,43,38,39,43,39,38,39,43,18,43,34,36,,38.76190476,,161,157,162,161,161,162,157,161,157,157,162,161,157,161,162,161,157,85,157,136,149,,154.4761905
2,min_max,0.4,1,153.6190476,38.23809524,,38,29,38,43,38,38,43,40,39,39,43,43,41,43,38,23,33,39,38,38,39,,38.23809524,,161,115,162,157,162,162,157,158,161,161,157,157,145,157,162,113,134,161,162,161,161,,153.6190476
2,min_max,0.5,0.1,103.4761905,25.47619048,,32,25,36,38,20,38,21,6,18,39,18,21,18,19,22,32,23,39,22,17,31,,25.47619048,,125,90,147,155,93,160,75,27,67,143,89,77,84,66,79,132,80,161,106,84,133,,103.4761905
2,min_max,0.5,0.2,125.6666667,31.33333333,,23,39,25,41,34,38,12,18,39,39,21,21,43,25,43,39,38,21,17,39,43,,31.33333333,,84,161,114,153,144,160,41,88,161,161,79,79,157,104,157,161,161,73,89,161,151,,125.6666667
2,min_max,0.5,0.3,140.6666667,35.04761905,,26,39,39,38,27,43,20,43,43,39,31,38,32,43,23,35,38,19,38,39,43,,35.04761905,,114,161,161,162,124,157,91,156,157,161,124,162,116,157,98,124,162,87,162,161,157,,140.6666667
2,min_max,0.5,0.4,127.1904762,32.47619048,,25,22,43,20,39,39,37,39,43,24,23,26,21,38,39,19,39,43,43,38,22,,32.47619048,,88,80,157,98,160,156,130,161,157,97,82,103,79,162,161,83,161,157,157,162,80,,127.1904762
2,min_max,0.5,0.5,139,35.9047619,,43,43,43,22,43,38,43,43,23,43,33,22,39,18,21,43,38,39,39,35,43,,35.9047619,,157,157,157,104,157,157,157,157,94,157,106,79,161,89,80,157,162,161,161,152,157,,139
2,min_max,0.5,0.6,146.2380952,37.66666667,,43,39,43,37,38,39,39,43,38,43,21,43,38,43,43,43,22,38,38,21,39,,37.66666667,,157,161,157,152,162,161,137,157,162,157,79,157,162,157,157,157,80,162,157,79,161,,146.2380952
2,min_max,0.5,0.7,148.6190476,37.47619048,,39,43,43,38,30,39,39,39,38,38,39,43,38,36,39,43,39,22,35,29,38,,37.47619048,,161,157,157,140,133,161,161,161,162,162,161,157,162,113,161,157,161,82,145,105,162,,148.6190476
2,min_max,0.5,0.8,143.4761905,35.85714286,,39,21,36,39,20,43,39,43,34,43,39,21,39,38,39,28,43,41,43,39,26,,35.85714286,,161,80,151,161,102,157,161,157,144,157,161,99,161,162,161,132,157,141,157,161,90,,143.4761905
2,min_max,0.5,0.9,147.9047619,38.42857143,,38,43,43,43,43,43,28,36,38,43,43,39,38,43,39,39,43,43,33,21,28,,38.42857143,,162,157,156,157,157,157,99,134,162,157,157,161,162,157,161,159,157,157,141,79,117,,147.9047619
2,min_max,0.5,1,152.7142857,38.47619048,,39,38,19,39,38,39,38,38,33,43,43,43,37,39,43,39,39,38,39,43,41,,38.47619048,,161,162,91,161,162,161,162,162,117,157,157,157,133,161,157,161,161,162,161,157,144,,152.7142857
2,min_max,0.6,0.1,104.6666667,27.19047619,,24,21,39,39,43,21,22,42,17,21,21,23,20,22,13,25,41,9,34,39,35,,27.19047619,,108,79,161,161,153,79,76,147,83,79,78,86,101,79,45,111,138,37,122,161,114,,104.6666667
